timestamp_utc,coin,side,price,qty,notional_usdt,size_pct,stage,planned_R,stated_p,realized_R,outcome,notes
2026-08-19T07:11:00Z,ZEC,SELL,502.81,1.9611,986.06,9.89,cut_half,2.95,0.45,-0.24,closed,"Staged-entry non-confirmation: confluence fell to 5/10 (0/10 Bearish) at the immediate next trading checkpoint since PM 08-18 entry (was 7/10 at entry) -- p3_rsi and p4_rvol both rolled from Bullish to Neutral as price pulled back -1.3% since entry. No confirmation per Section 5 step 9 -> cut the half. Realized P&L -$12.86; realized R -0.24 vs planned R 2.95."
2026-08-19T07:11:00Z,MORPHO,SELL,2.05,234.3782,480.48,4.82,cut_half,2.32,0.45,-0.45,closed,"Staged-entry non-confirmation: confluence fell to 5/10 (1/10 Bearish, incl. a same-checkpoint p7_oi override) at the immediate next trading checkpoint since PM 08-18 entry (was 7/10 at entry) -- 24h OI reversed sharply to -16.3% (from +17.6% at entry) alongside price down -3.8%, directly contradicting the entry thesis's named strongest-conviction leg; p7_oi overridden Bullish->Bearish on rubric-misread grounds ('OI collapsing after a rally'). No confirmation per Section 5 step 9 -> cut the half. Realized P&L -$18.98; realized R -0.45 vs planned R 2.32."
2026-08-21T07:10:07Z,XLM,BUY,0.1874,2659.7652,498.44,5.00,stage1_half,2.05,0.42,,open,"Confirmed entry (Section 5 steps 5-9): confluence read >=7/10 at 2 consecutive trading checkpoints (PM 08-20 8/10 armed -> AM 08-21 7/10 confirmed). Mechanical picture unchanged/clean both checkpoints (7/9 Bullish, 0 Bearish on p2-p10); the one-point drop from 8 to 7 total is p1 sentiment turning contrarian-Bearish (rising interest, euphoria stack, no capitulation offset), not mechanical decay. Tier C (R=2.05, p=0.42, EV=+2.59%); staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-21 PM checkpoint. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-21T07:10:06.925803+00:00)."
2026-08-21T19:14:11Z,XLM,BUY,0.1897,2627.5171,498.44,5.06,stage2_add,2.05,0.42,,open,"Stage-2 add (Section 5 step 9): confluence held >=7/10 at the immediate next checkpoint since the AM 08-21 half-open (7/10 -> 8/10, strengthened). p2-p10 improved to 8/9 Bullish/0 Bearish (p6 funding Neutral->Bullish); p1 cooled from contrarian-Bearish (AM's euphoric read) to Neutral (flat interest, zero euphoria/capitulation markers this run). Price +1.23% since entry, still above 50/200DMA in golden-cross structure, OI accelerating (24h +27.7%, 7d +37.1%), funding flat, invalidation $0.170 not breached. Position now full target size, avg entry $0.188543, 5287.2823 XLM (~10.06% of $9,974.91 portfolio)."
2026-08-22T07:15:00Z,UNI,BUY,4.214,119.791,504.80,5.00,stage1_half,2.00,0.40,,open,"Confirmed entry (Section 5 steps 5-9): confluence read >=7/10 at 2 consecutive trading checkpoints (PM 08-21 8/10 armed -> AM 08-22 7/10 confirmed, 0/10 Bearish both checkpoints). Mechanical p2-10 read 7 Bullish/0 Bearish/2 Neutral (rvol 0.83 borderline, F&G 71 Neutral -- global regime overlay). p1 sentiment Neutral (mild rally-bragging chatter, flat interest, no crowd-wide euphoria dominance). Tier C (R=2.00, p=0.40, EV=+2.68%; Entry $4.214, Target $5.342, Invalidation $3.65 just under the 50DMA $3.6958). Staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-22 PM checkpoint. Entered inside a broad market-wide melt-up (BTC RSI 82.5, F&G 71 +37/7d) -- flagged in the red-team pass as the dominant risk to this and every other position, mitigated by the half-size staged entry. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint."
2026-08-22T19:05:28Z,UNI,SELL,4.257,119.791,509.95,5.09,cut_half,2.00,0.40,0.08,closed,"Staged-entry non-confirmation: confluence eased to 6/10 (1/10 Bearish, p6 funding 0.0761%/8h crossing the crowded-long threshold) at the immediate next trading checkpoint since AM 08-22 entry (was 7/10, 0/10 Bearish) -- p4 rvol and p10 F&G both rolled Bullish->Neutral alongside the p6 flip. OI/DMA/RSI legs of the entry thesis all still held (24h OI +12.5%, 7d +19.3%; price above 50DMA; RSI 65.4 mid-band). No confirmation per Section 5 step 9 -> cut the half. Realized P&L +$5.15; realized R +0.08 vs planned R 2.00 -- a small gain despite the cut, since price drifted up rather than down between entry and this checkpoint; closed on the confirmation rule, not a stop-loss or thesis failure."
2026-08-24T07:20:00Z,ONDO,BUY,0.3757,1333.2614,500.91,5.00,stage1_half,2.08,0.42,,open,"Confirmed entry (Section 5 steps 5-9): confluence read >=7/10 at 2 consecutive trading checkpoints (PM 08-23 8/10 armed -> AM 08-24 7/10 confirmed). Mechanical p2-10 read 7 Bullish/0 Bearish/2 Neutral (p5 volz, p10 F&G Neutral) both checkpoints; the one-point drop from 8 to 7 is p1 sentiment turning contrarian-Bearish (rising interest, euphoria stack -- $1.40/+1500% targets, rocket emojis, new-ATH calls -- zero capitulation offset), not mechanical decay. Tier C (R=2.08, p=0.42, EV=+2.79%; Entry $0.3757, Target $0.45, Invalidation $0.34 just under the 50DMA $0.358702). Staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-24 PM checkpoint. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-24T07:14:11.767178+00:00)."
2026-08-24T19:05:45Z,ONDO,BUY,0.3814,1313.3456,500.91,5.09,stage2_add,2.08,0.42,,open,"Stage-2 add (Section 5 step 9): confluence held >=7/10 at the immediate next checkpoint since the AM 08-24 half-open (7/10 -> 8/10, strengthened). p2-p10 unchanged at 7/9 Bullish/0 Bearish; p1 cooled from contrarian-Bearish (AM's euphoric $1.40/1500% read) to contrarian-Bullish (rising interest, no euphoria markers, no capitulation -- base-building framing). Price +1.52% since entry, still above 50/200DMA in golden-cross structure, OI accelerating (24h +5.0%, 7d +83.5%), funding flat, invalidation $0.34 not breached. Position now full target size, avg entry $0.378529, 2646.607 ONDO (~10.09% of $10,000.87 portfolio)."
2026-08-26T07:35:00Z,MORPHO,BUY,2.516,197.1634,496.06,5.0,stage1_half,2.07,0.4,,open,"Confirmed entry (Section 5 steps 5-9): confluence read >=7/10 at 2 consecutive trading checkpoints (PM 08-25 7/10 armed -> AM 08-26 7/10 confirmed, 0/10 Bearish both checkpoints). Mechanical p2-10 read 7 Bullish/0 Bearish/2 Neutral; p1 sentiment Neutral. Won the EV tie-break among 4 confirmed candidates (MORPHO, JUP, AAVE, ASTER all tied at 7/10) competing for 3 open slots (max 5 concurrent, 2 already held): ASTER EV +2.45% > MORPHO EV +2.16% > JUP EV +1.96% > AAVE EV +1.58% (AAVE's lower p=0.38 reflects its standing overextension flag, dev-from-50DMA +32.2%, plus its own p2_dma Bearish flag). AAVE logged as a rejected runner-up in SHADOW_BOOK.md. Tier C (R=2.07, p=0.40, EV=+2.16%; Entry $2.516, Target $3.0066, Invalidation $2.2795). Staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-26 PM checkpoint. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-26T07:18:08.266056+00:00)."
2026-08-26T07:35:00Z,JUP,BUY,0.2145,2312.648,496.06,5.0,stage1_half,2.07,0.4,,open,"Confirmed entry (Section 5 steps 5-9): confluence read >=7/10 at 2 consecutive trading checkpoints (PM 08-25 7/10 armed -> AM 08-26 7/10 confirmed, 0/10 Bearish both checkpoints). Mechanical p2-10 read 7 Bullish/0 Bearish/2 Neutral; p1 sentiment contrarian Bullish (scam-bait euphoria discounted, genuine capitulation markers -6.4% drop + undervalued conviction chatter). See MORPHO ledger entry for the full 4-way EV ranking. Tier C (R=2.07, p=0.40, EV=+1.96%; Entry $0.2145, Target $0.2563, Invalidation $0.1943). Staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-26 PM checkpoint. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-26T07:18:08.266056+00:00)."
2026-08-26T07:35:00Z,ASTER,BUY,0.704,704.6349,496.06,5.0,stage1_half,2.07,0.41,,open,"Confirmed entry (Section 5 steps 5-9): confluence read >=7/10 at 2 consecutive trading checkpoints (PM 08-25 7/10 armed -> AM 08-26 7/10 confirmed, 0/10 Bearish both checkpoints). Mechanical p2-10 read 6 Bullish/0 Bearish/3 Neutral; p1 sentiment contrarian Bullish (genuine capitulation-heavy despair, no euphoria offset, no new red-flag news). Highest EV of the 4-way tie-break (+2.45%, strongest OI confirmation 7d +118.4%). See MORPHO ledger entry for the full ranking. Tier C (R=2.07, p=0.41, EV=+2.45%; Entry $0.704, Target $0.8413, Invalidation $0.6378). Staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-26 PM checkpoint. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-26T07:18:08.266056+00:00)."
2026-08-26T19:10:00Z,JUP,SELL,0.2165,2312.648,500.69,5.07,stage1-cut,2.07,0.40,0.099,closed,"Staged-entry non-confirmation (Section 5 step 9): confluence eased 7/10 AM -> 6/10 PM (0/10 Bearish both) at the immediate next checkpoint since the AM 08-26 stage-1 entry. Mechanical p2-10 unchanged (6/9 Bullish, 0 Bearish both checkpoints) -- move is entirely p1 sentiment cooling Bullish->Neutral (AM's genuine capitulation read did not repeat; flat interest, no crowd extreme this run). Price/OI/DMA legs of the thesis all still held. Cut the half per rule. Realized P&L +$4.63 (+0.93% on the half), realized R +0.099 vs planned 2.07."
2026-08-26T19:10:00Z,ASTER,SELL,0.70,704.6349,493.24,5.00,stage1-cut,2.07,0.41,-0.06,closed,"Staged-entry non-confirmation (Section 5 step 9): confluence eased 7/10 AM -> 6/10 PM (0/10 Bearish both) at the immediate next checkpoint since the AM 08-26 stage-1 entry. Mechanical p2-10 unchanged (6/9 Bullish, 0 Bearish both checkpoints) -- move is entirely p1 sentiment cooling Bullish->Neutral (AM's one-sided capitulation-despair read now genuinely balanced by fresh euphoria markers). Price/OI/DMA legs of the thesis all still held. Cut the half per rule. Realized P&L -$2.82 (-0.57% on the half), realized R -0.060 vs planned 2.07."
2026-08-26T19:10:00Z,MORPHO,BUY,2.456,201.9788,496.06,5.02,stage2_add,2.07,0.40,,open,"Stage-2 add (Section 5 step 9): confluence held >=7/10 at the immediate next checkpoint since the AM 08-26 half-open (7/10 -> 7/10, held; bull count unchanged at 7/10 even as p1 flipped Neutral->Bearish on genuine euphoria -- mechanical p2-10 stayed clean 7/9 Bullish/0 Bearish both checkpoints). Price -2.38% vs AM entry, still above 50/200DMA in golden-cross structure, dev-from-50DMA eased to +18.9% (from +21.7%), OI/funding/RSI all constructive, invalidation $2.2795 not breached. Position now full target size, avg entry $2.485638, 399.1422 MORPHO (~9.9% of $9,874.47 portfolio)."
2026-08-26T19:10:00Z,AAVE,BUY,123.78,3.9887,493.72,5.00,stage1_half,2.074,0.40,,open,"Confirmed entry (Section 5 steps 5-9): confluence held >=7/10 Bullish for a 3rd consecutive checkpoint (PM 08-25 armed -> AM 08-26 confirmed/bumped by EV tie-break, no open slot -> PM 08-26 reconfirmed, 1/10 Bearish, p2_dma only). A slot freed this checkpoint when JUP and ASTER were both stage1-cut on non-confirmation. Stated p nudged to the Tier C floor 0.40 (from AM's tie-break-discounted 0.38) reflecting eased-but-still-present overextension (dev-from-50DMA +32.2% AM -> +27.7% PM, still above the 25% override line so p2_dma stays Bearish); logged as a judgment call in SIGNALS.csv/JOURNAL.md and flagged in the red-team pass. Tier C (R=2.074, p=0.40, EV=+2.16%; Entry $123.78, Target $147.9171, Invalidation $112.1447). Staged half-entry per rule, second half adds only if confluence holds >=7/10 at the 2026-08-27 AM checkpoint. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-26T19:07:58.244600+00:00)."
2026-08-27T07:15:28Z,AAVE,BUY,127.04,3.125,397.0,9.04,stage2_add_capped,2.074,0.4,,open,"Stage-2 add, HARD-RULE CAPPED (Section 5 step 9 confirmation + Section 3 rule 8 sector cap): confluence held >=7/10 at the immediate next checkpoint since the PM 08-26 stage-1 half-entry (7/10 -> 7/10, held; mechanical p2-10 unchanged 6/9 Bullish/1 Bearish; p1 sentiment flipped Bearish->Bullish on a genuine capitulation read, 'quietly exiting aave positions before the next cycle', zero euphoria offset). The full second half at the stage-1 notional ($493.72) would have pushed DeFi Lending sector exposure (MORPHO+AAVE) to ~51.2% of deployed capital, breaching the <=50%-of-deployed-capital-per-sector hard rule (Section 3 rule 8, never break, no exceptions). Capped the add at $397.00 notional (3.125 AAVE @ $127.04) -- the largest amount keeping DeFi Lending at <=50% of deployed capital (lands at 49.99%). Position now 7.1137 AAVE, avg entry $125.211915, ~9.04% of portfolio -- short of the 10% target size solely due to the sector cap. Entry price/timestamp from the same scripts/parameters.py Binance spot fetch used for the checkpoint (generated_at 2026-08-27T07:15:28.447230+00:00)."
2026-08-28T19:12:21Z,ONDO,SELL,0.3529,1323.3035,466.99,4.77,trimmed_half,2.08,0.42,-0.665,open,"TRIM HALF (Section 5 step 4, Weakening conviction, discretionary judgment call -- not a confluence-count or invalidation trigger): price $0.3529 (-4.34% vs AM close $0.3689) inside a broad market-wide risk-off day (BTC -3.33% 24h, most of the 30-coin watchlist down 3-9%). Judged conviction Weakening on two converging signals: (1) price is now BELOW the current 50DMA ($0.362324) for the first time this hold -- a direct breach of the entry thesis's own explicit thesis_test condition ('price holds above the 50DMA'), masked in the raw confluence count because p2_dma reads Neutral (price still above the 200DMA, not below both MAs); (2) 7d OI flipped to -9.9%, reversing the strongly-positive OI-expansion regime (peaked +134% 7d) that was this thesis's core confirmation pillar. Invalidation ($0.34) headroom compressed to ~3.8%, narrowest of any holding. Confluence itself (3/10, 0 Bearish) was not the trigger -- short of both the >=4/10-Bearish trim threshold and the exit gate. Sold half the position (1323.3035 ONDO @ $0.3529, proceeds $466.99), avg entry unchanged $0.378529. Realized P&L -$33.91 on the trimmed half (-0.665R vs planned R=2.08). Position remains open at half size (1323.3035 ONDO, ~4.77% of portfolio), flagged for confirmation at the next checkpoint -- persistence/deepening of the 50DMA breach and OI reversal is the next exit signal; a reclaim of the 50DMA with re-expanding OI would validate this as a conservative trim on a market-wide (not ONDO-specific) wobble."
2026-08-28T19:12:21Z,AAVE,SELL,121.87,3.5568,433.47,4.42,trimmed_half_sector_cap,2.074,0.40,-0.256,open,"TRIM HALF -- SECTOR-CAP CORRECTION (Section 3 rule 8, hard rule, never break no exceptions), not a thesis/conviction call. The ONDO trim executed earlier this same checkpoint reduced total deployed capital without touching DeFi Lending (MORPHO+AAVE), pushing the sector to ~56.6% of deployed capital -- a breach of the <=50%-of-deployed-capital-per-sector cap that had been sitting at exactly 49.99% since the PM 08-26/AM 08-27 sector-capped entry. Corrected immediately rather than deferred. Chose AAVE over MORPHO: lower confluence this checkpoint (5/10 vs 6/10) and already the position constrained by this same rule at entry (stage2_add_capped) -- a consistency argument, not a read that AAVE's thesis is weaker (thesis stays Playing Out, conviction Intact; AAVE has the healthiest invalidation headroom and least overextension of any holding this checkpoint). Sold 3.5568 AAVE @ $121.87 = $433.47 proceeds. Realized P&L -$11.89 (-0.256R vs planned R=2.074) on the trimmed half. Post-trim DeFi Lending sector exposure: 49.84% of deployed capital. Position remains open at half size, avg entry unchanged $125.211915 -- no confirmation-next-checkpoint condition attached (compliance-driven resize, not a Weakening-conviction trim)."
2026-08-29T07:12:00Z,XLM,SELL,0.1776,2643.6411,469.51,4.79,trimmed_half,2.05,0.42,-0.59,open,"TRIM HALF -- Weakening conviction, named thesis-test breach (Section 5 step 4): dev-from-50DMA compressed to +0.8% (thinnest cushion of the hold, explicitly flagged as this checkpoint's first-line watch item), RSI 50.0 (second straight checkpoint out of the 55-70 Bullish band), 7d OI -14.3% (sharp reversal, flagged with a data-quality caveat given OI_HISTORY.json's short self-built window). Invalidation not breached (~4.3% headroom). Realized -$28.93/-0.590R on the trimmed half vs planned R=2.05. Remaining 2643.6412 XLM held, avg entry unchanged $0.188543."
2026-08-29T07:12:00Z,ONDO,SELL,0.3499,1323.3035,463.02,0.0,exit,2.08,0.42,-0.743,closed,"FULL EXIT -- the PM 08-28 trim-half's own confirmation condition fired: 50DMA breach deepened (-2.6% -> -3.6%), 7d OI stayed clearly negative (-9.9% -> -7.7%, not re-expanded), RSI fell further (52.4 -> 46.8). Thesis downgraded Playing Out->Stalled, conviction Weakening->Failing. Realized -$37.88/-0.743R on this tranche; combined with the 08-28 PM trim, total realized on the ONDO hold: -$71.79 vs planned R=2.08."
2026-08-29T07:12:00Z,AAVE,SELL,122.42,3.5568,435.42,0.0,exit_sector_cap,2.074,0.4,-0.214,closed,"FULL EXIT -- SECTOR-CAP CORRECTION (Section 3 rule 8, hard rule, never break no exceptions), not a thesis call. XLM's trim and ONDO's exit (unrelated sectors) shrank deployed capital without touching DeFi Lending, pushing MORPHO+AAVE to ~74.9% of deployed capital. AAVE absorbs first on lowest-confluence-first logic (6/10 vs MORPHO's 7/10), consistent with the 08-28 PM precedent (also already twice-constrained by this rule). Zeroing AAVE alone was insufficient (~67.3% remaining), so MORPHO was also trimmed. AAVE's own structure was healthy (dev-from-50DMA back under 25%, RSI 62.7) aside from a sharp 7d OI reversal (-24.9%, steepest of any holding). Realized -$9.93/-0.214R on this tranche; combined with the 08-28 PM trim, total realized on the AAVE hold: -$21.82 vs planned R=2.074."
2026-08-29T07:12:00Z,MORPHO,SELL,2.416,212.4305,513.23,4.6,trimmed_sector_cap,2.07,0.4,-0.338,open,"TRIM -- SECTOR-CAP CORRECTION (Section 3 rule 8), not a thesis call. MORPHO carries the strongest read in the book this checkpoint (7/10, 0 Bearish, p1 flipped contrarian Bullish on rising interest with zero euphoria). Trim triggered by the cascading effect of this same checkpoint's XLM/ONDO/AAVE actions shrinking deployed capital -- even after AAVE's full exit, MORPHO alone still exceeded 50% of the reduced deployed capital (67.3%), so MORPHO absorbed the remaining correction needed, landing DeFi Lending at ~49% of deployed capital. Realized -$14.79/-0.338R on the trimmed tranche vs planned R=2.07. Remaining 186.7117 MORPHO held, avg entry unchanged $2.485638."
2026-08-31T07:16:04Z,XLM,SELL,0.1766,1321.8206,233.43,2.38,trimmed_quarter,2.05,0.42,-0.644,open,"TRIM HALF AGAIN -- Weakening conviction, deepened named thesis-test breach (Section 5 step 4), a stronger version of the AM 08-29 trigger. Dev-from-50DMA compressed to +0.5% (new hold-low, below the +0.8% that triggered the original trim). RSI fell to 49.3 (below 50 for the first time since that trim, reversing not just stalling the 4-checkpoint reclaim). 7d OI printed -10.8%, the second consecutive negative checkpoint (previously every dip reversed within one checkpoint). Invalidation headroom compressed to ~3.7%, tightest of the hold. Confluence stays 4/10 (0/10 Bearish) -- discretionary conviction call, not a Bearish-count trigger. Realized -$15.79/-0.644R on the trimmed tranche vs planned R=2.05. Remaining 1321.8206 XLM held, avg entry unchanged $0.188543."
